
, 2018-08-29 19:00:51.494613 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.498343 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.502093 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.508339 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.517296 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.527268 
5.13, 3.64, 5.45
, 2018-08-29 19:00:51.536758 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.546453 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.555888 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.565527 
5.13, 3.64, 5.47
, 2018-08-29 19:00:51.574737 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.584640 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.593921 
5.13, 3.64, 5.47
, 2018-08-29 19:00:51.603698 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.613148 
5.13, 3.76, 5.45
, 2018-08-29 19:00:51.622532 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.632511 
5.13, 3.64, 5.45
, 2018-08-29 19:00:51.641899 
5.02, 3.76, 5.45
, 2018-08-29 19:00:51.651654 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.661071 
5.13, 3.65, 5.35
, 2018-08-29 19:00:51.671003 
5.02, 3.74, 5.47
, 2018-08-29 19:00:51.680652 
5.13, 3.76, 5.47
, 2018-08-29 19:00:51.690423 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.700040 
5.13, 3.64, 5.47
, 2018-08-29 19:00:51.709082 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.718292 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.727282 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.736029 
5.02, 3.74, 5.45
, 2018-08-29 19:00:51.745617 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.755696 
5.13, 3.74, 5.35
, 2018-08-29 19:00:51.765581 
5.13, 3.64, 5.45
, 2018-08-29 19:00:51.779756 
5.02, 3.76, 5.45
, 2018-08-29 19:00:51.789363 
5.13, 3.76, 5.45
, 2018-08-29 19:00:51.798137 
5.13, 3.76, 5.35
, 2018-08-29 19:00:51.807192 
5.02, 3.74, 5.47
, 2018-08-29 19:00:51.832822 
5.13, 3.74, 5.45
, 2018-08-29 19:00:51.930825 
5.13, 3.74, 5.35
, 2018-08-29 19:00:52.028998 
5.13, 3.64, 5.47
, 2018-08-29 19:00:52.131850 
5.02, 3.74, 5.47
, 2018-08-29 19:00:52.229962 
5.13, 3.74, 5.45
, 2018-08-29 19:00:52.331798 
5.13, 3.74, 5.35
, 2018-08-29 19:00:52.431157 
5.13, 3.64, 5.45
, 2018-08-29 19:00:52.529260 
5.02, 3.74, 5.45
, 2018-08-29 19:00:52.630851 
5.13, 3.76, 5.35
, 2018-08-29 19:00:52.730172 
5.13, 3.64, 5.45
, 2018-08-29 19:00:52.828408 
5.02, 3.74, 5.45
, 2018-08-29 19:00:52.929986 
5.13, 3.76, 5.45
, 2018-08-29 19:00:53.032909 
5.13, 3.74, 5.35
, 2018-08-29 19:00:53.130936 
5.13, 3.64, 5.45
, 2018-08-29 19:00:53.234136 
5.02, 3.76, 5.45
, 2018-08-29 19:00:53.328348 
5.13, 3.74, 5.35
, 2018-08-29 19:00:53.429964 
5.13, 3.64, 5.35
, 2018-08-29 19:00:53.529049 
5.02, 3.74, 5.45
, 2018-08-29 19:00:53.630550 
5.13, 3.76, 5.45
, 2018-08-29 19:00:53.728692 
5.13, 3.76, 5.35
, 2018-08-29 19:00:53.831675 
5.13, 3.64, 5.45
, 2018-08-29 19:00:53.929715 
5.02, 3.76, 5.45
, 2018-08-29 19:00:54.032654 
5.13, 3.74, 5.47
, 2018-08-29 19:00:54.130577 
5.13, 3.76, 5.35
, 2018-08-29 19:00:54.232458 
5.02, 3.74, 5.47
, 2018-08-29 19:00:54.331569 
5.13, 3.76, 5.45
, 2018-08-29 19:00:54.429727 
5.13, 3.76, 5.35
, 2018-08-29 19:00:54.532734 
5.13, 3.65, 5.45
, 2018-08-29 19:00:54.630665 
5.02, 3.76, 5.47
, 2018-08-29 19:00:54.728444 
5.13, 3.76, 5.45
, 2018-08-29 19:00:54.827637 
5.13, 3.74, 5.35
, 2018-08-29 19:00:54.929338 
5.02, 3.74, 5.45
, 2018-08-29 19:00:55.032171 
5.13, 3.76, 5.45
, 2018-08-29 19:00:55.130177 
5.13, 3.74, 5.35
, 2018-08-29 19:00:55.232252 
5.13, 3.65, 5.45
, 2018-08-29 19:00:55.331274 
5.02, 3.76, 5.47
, 2018-08-29 19:00:55.429442 
5.13, 3.74, 5.45
, 2018-08-29 19:00:55.528534 
5.13, 3.74, 5.35
, 2018-08-29 19:00:55.630068 
5.13, 3.64, 5.47
, 2018-08-29 19:00:55.729176 
5.02, 3.74, 5.45
, 2018-08-29 19:00:55.826975 
5.13, 3.76, 5.35
, 2018-08-29 19:00:55.929627 
5.13, 3.64, 5.45
, 2018-08-29 19:00:56.031279 
5.02, 3.74, 5.45
, 2018-08-29 19:00:56.129462 
5.13, 3.74, 5.45
, 2018-08-29 19:00:56.232339 
5.13, 3.76, 5.35
, 2018-08-29 19:00:56.330475 
5.13, 3.64, 5.45
, 2018-08-29 19:00:56.433276 
5.02, 3.74, 5.45
, 2018-08-29 19:00:56.531358 
5.13, 3.74, 5.35
, 2018-08-29 19:00:56.625599 
5.13, 3.64, 5.35
, 2018-08-29 19:00:56.732041 
5.02, 3.76, 5.45
, 2018-08-29 19:00:56.830044 
5.13, 3.76, 5.45
, 2018-08-29 19:00:56.932871 
5.13, 3.74, 5.35
, 2018-08-29 19:00:57.030951 
5.13, 3.64, 5.45
, 2018-08-29 19:00:57.133875 
5.02, 3.76, 5.45
, 2018-08-29 19:00:57.231731 
5.13, 3.76, 5.45
, 2018-08-29 19:00:57.334828 
5.13, 3.76, 5.35
, 2018-08-29 19:00:57.432873 
5.02, 3.74, 5.45
, 2018-08-29 19:00:57.530785 
5.13, 3.76, 5.47
, 2018-08-29 19:00:57.633854 
5.13, 3.74, 5.35
, 2018-08-29 19:00:57.731782 
5.13, 3.64, 5.45
, 2018-08-29 19:00:57.833652 
5.02, 3.74, 5.45
, 2018-08-29 19:00:57.927946 
5.13, 3.76, 5.45
